Node,Depth,Value
root,0,-infinity
d3,1,2147483647
c3,2,-3
d3,1,-3
e3,2,0
d3,1,-3
c5,2,0
d3,1,-3
root,0,-3
c4,1,2147483647
c3,2,-3
c4,1,-3
e3,2,0
c4,1,-3
c5,2,0
c4,1,-3
root,0,-3
f5,1,2147483647
f4,2,0
f5,1,0
d6,2,0
f5,1,0
f6,2,-3
f5,1,-3
root,0,-3
e6,1,2147483647
f4,2,0
e6,1,0
d6,2,0
e6,1,0
f6,2,-3
e6,1,-3
root,0,-3
